id,asmb_code,ac_type,pc_id,district_id,state_id,asmb_name,status,created_at,updated_at
1,1,Gen,1,22,21,Sujanpur,1,2023-08-23 05:34:52,2023-08-23 05:34:52
2,2,SC,1,22,21,Bhoa,1,2023-08-23 05:34:52,2023-08-23 05:34:52
3,3,Gen,1,22,21,Pathankot,1,2023-08-23 05:34:52,2023-08-23 05:34:52
4,4,Gen,1,1,21,Gurdaspur,1,2023-08-23 05:34:52,2023-08-23 05:34:52
5,5,SC,1,1,21,Dina Nagar,1,2023-08-23 05:34:52,2023-08-23 05:34:52
6,6,Gen,1,1,21,Qadian,1,2023-08-23 05:34:52,2023-08-23 05:34:52
7,7,Gen,1,1,21,Batala,1,2023-08-23 05:34:52,2023-08-23 05:34:52
8,8,SC,5,1,21,Sri Hargobindpur,1,2023-08-23 05:34:52,2023-08-23 05:34:52
9,9,Gen,1,1,21,Fatehgarh Churian,1,2023-08-23 05:34:52,2023-08-23 05:34:52
10,10,Gen,1,1,21,Dera Baba Nanak,1,2023-08-23 05:34:52,2023-08-23 05:34:52
11,11,Gen,2,2,21,Ajnala,1,2023-08-23 05:34:52,2023-08-23 05:34:52
12,12,Gen,2,2,21,Raja Sansi,1,2023-08-23 05:34:52,2023-08-23 05:34:52
13,13,Gen,2,2,21,Majitha,1,2023-08-23 05:34:52,2023-08-23 05:34:52
14,14,SC,3,2,21,Jandiala,1,2023-08-23 05:34:52,2023-08-23 05:34:52
15,15,Gen,2,2,21,Amritsar North,1,2023-08-23 05:34:52,2023-08-23 05:34:52
16,16,SC,2,2,21,Amritsar West,1,2023-08-23 05:34:52,2023-08-23 05:34:52
17,17,Gen,2,2,21,Amritsar Central,1,2023-08-23 05:34:52,2023-08-23 05:34:52
18,18,Gen,2,2,21,Amritsar East,1,2023-08-23 05:34:52,2023-08-23 05:34:52
19,19,Gen,2,2,21,Amritsar South,1,2023-08-23 05:34:52,2023-08-23 05:34:52
20,20,SC,2,2,21,Attari,1,2023-08-23 05:34:52,2023-08-23 05:34:52
22,21,Gen,3,3,21,Tarn Taran,1,2023-08-23 05:34:52,2023-08-23 05:34:52
23,22,Gen,3,3,21,Khem Karan,1,2023-08-23 05:34:52,2023-08-23 05:34:52
