id,name,d_code,data_exist,d_name_hindi,lock,state_id,created_at,updated_at
1,Gurdaspur,1,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
2,Amritsar,2,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
3,Tarn Taran,3,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
4,Kapurthala,4,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
5,Jalandhar,5,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
6,Hoshiarpur,6,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
7,S.B.S Nagar,7,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
8,Rupnagar,8,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
9,S.A.S Nagar,9,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
10,Fatehgarh Sahib,10,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
11,Ludhiana,11,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
12,Moga,12,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
13,Firozpur,13,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
14,Muktsar,14,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
15,Faridkot,15,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
16,Bathinda,16,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
17,Mansa,17,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
18,Sangrur,18,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
19,Barnala,19,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
20,Patiala,20,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
21,Malerkotla,21,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
22,Pathankot,22,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
23,Fazilka,23,FALSE,NULL,FALSE,21,2023-08-23 05:34:52,2023-08-23 05:34:52
