"id","name","st_code","created_at","updated_at","deleted_at","status"
"1","Andhra Pradesh","S1","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"2","Arunachal Pradesh","S2","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"3","Assam","S3","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"4","Bihar","S4","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"5","Chhattisgarh","S5","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"6","Goa","S6","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"7","Gujarat","S7","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"8","Haryana","S8","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"9","Himachal Pradesh","S9","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"10","Jammu and Kashmir","S10","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"11","Jharkhand","S11","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"12","Karnataka","S12","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"13","Kerala","S13","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"14","Madhya Pradesh","S14","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"15","Maharashtra","S15","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"16","Manipur","S16","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"17","Meghalaya","S17","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"18","Mizoram","S18","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"19","Nagaland","S21","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"20","Odisha","S20","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"21","Punjab","S19","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"22","Rajasthan","S22","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"23","Sikkim","S23","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"24","Tamil Nadu","S24","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"25","Telangana","S25","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"26","Tripura","S26","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"27","Uttar Pradesh","S27","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"28","Uttarakhand","S28","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
"29","West Bengal","S29","2023-08-24 05:34:52","2023-08-24 05:34:52",NULL,"1"
